Willi Castro,DET,112,365,47,88,18,2,8,31,9,4,15,82,8,3,0,castrwi01
Jace Peterson,MIL,112,288,44,68,14,2,8,34,12,1,33,85,2,3,2,peterja01
Keibert Ruiz,WSN,112,394,33,99,22,0,7,36,6,1,30,50,6,2,0,ruizke01
Connor Joe,COL,111,404,56,96,20,4,7,28,6,2,55,97,7,1,0,joeco01
Isaac Paredes,TBR,111,331,48,68,16,0,20,45,0,1,44,67,4,2,0,paredis01
Chad Pinder,OAK,111,361,38,85,18,0,12,42,2,0,14,118,0,2,0,pindech01
Seiya Suzuki,CHC,111,397,54,104,22,2,14,46,9,5,42,110,4,3,3,suzukse01
Eric Haase,DET,110,323,41,82,17,1,14,44,0,0,24,97,1,3,1,haaseer01
Austin Nola,SDP,110,347,40,87,15,0,4,40,2,1,34,60,6,9,1,nolaau01
Nick Senzel,CIN,110,373,45,86,13,0,5,25,8,5,30,76,5,1,0,senzeni01
Giancarlo Stanton,NYY,110,398,53,84,7,0,31,78,0,0,50,137,0,3,2,stantmi03
Spencer Torkelson,DET,110,360,38,73,16,1,8,28,0,1,37,99,5,2,0,torkesp01
Albert Pujols,STL,109,307,42,83,14,0,24,68,1,2,28,55,10,6,1,pujolal01
Abraham Toro,SEA,109,324,36,60,13,1,10,35,2,0,22,65,2,4,1,toroab01
Bradley Zimmer,TOT,109,105,18,13,5,0,2,5,3,2,5,45,6,0,0,zimmebr01
Lars Nootbaar,STL,108,290,53,66,16,3,14,40,4,1,51,71,1,5,1,nootbla01
Travis d'Arnaud,ATL,107,396,61,106,25,1,18,60,0,0,19,90,11,0,0,darnatr01
Kyle Isbel,KCR,106,256,32,54,10,4,5,28,9,6,16,75,3,2,0,isbelky01
Jack Suwinski,PIT,106,326,45,66,11,0,19,38,4,2,41,114,4,1,1,suwinja01
Elias Diaz,COL,105,351,29,80,18,2,9,51,0,1,25,82,2,3,0,diazel01
Austin Hedges,CLE,105,294,26,48,4,0,7,30,2,0,25,78,6,3,0,hedgeau01
Tyler Naquin,TOT,105,310,47,71,19,4,11,46,4,2,19,93,4,0,2,naquity01
Mauricio Dubon,TOT,104,243,31,52,9,0,5,24,2,3,13,30,1,5,0,dubonma01
Eric Hosmer,TOT,104,380,38,102,19,0,8,44,0,0,37,64,1,1,5,hosmeer01
Carson Kelly,ARI,104,317,40,67,18,0,7,35,2,0,29,71,4,4,0,kellyca02
Ryan McKenna,BAL,104,156,23,37,10,0,2,11,2,1,11,55,2,1,1,mckenry01
Yoan Moncada,CHW,104,397,41,84,18,1,12,51,2,0,32,114,2,1,2,moncayo01
Dylan Moore,SEA,104,205,41,46,11,2,6,24,21,8,34,75,13,1,2,mooredy01
Jorge Polanco,MIN,104,375,54,88,16,0,16,56,3,3,64,95,2,4,1,polanjo01
Jose Siri,TOT,104,301,53,64,13,2,7,24,14,2,20,108,3,1,0,sirijo01
Maikel Franco,WSN,103,371,31,85,15,0,9,39,1,0,12,75,2,3,0,francma02
Jonathan India,CIN,103,386,48,96,16,2,10,41,3,4,31,94,14,0,1,indiajo01
Jon Berti,MIA,102,358,47,86,17,3,4,28,41,5,42,89,3,1,0,bertijo01
Luis Guillorme,NYM,102,297,33,81,12,1,2,17,1,0,34,46,2,0,1,guilllu01
Emmanuel Rivera,TOT,102,330,46,77,16,3,12,40,1,2,23,83,5,1,0,riverem01
Max Stassi,LAA,102,333,32,60,12,1,9,30,0,0,38,112,2,1,0,stassma01
Alfonso Rivas,CHC,101,251,27,59,5,2,3,25,6,1,29,87,4,2,1,rivasal01
Joey Wendle,MIA,101,347,27,90,24,1,3,32,12,3,15,50,5,3,0,wendljo01
Nick Allen,OAK,100,299,31,62,13,0,4,19,3,2,19,64,1,1,0,allenni02
Christian Bethancourt,TOT,100,318,39,80,17,0,11,34,5,1,12,80,2,0,0,bethach01
Yasmani Grandal,CHW,99,327,15,66,7,0,5,27,1,0,45,79,2,2,1,grandya01
Bryce Harper,PHI,99,370,63,106,28,1,18,65,11,4,46,87,3,7,9,harpebr03
Jake McCarthy,ARI,99,321,53,91,16,3,8,43,23,3,23,76,6,1,0,mccarja02
Leody Taveras,TEX,99,314,39,82,14,2,5,34,11,5,21,88,2,3,0,taverle01
Brian Anderson,MIA,98,338,43,75,16,1,8,28,1,0,37,101,7,1,2,anderbr06
Jose Azocar,SDP,98,202,24,52,9,3,0,10,5,6,12,44,0,1,0,azocajo01
Avisail Garcia,MIA,98,357,31,80,9,0,8,35,4,0,17,109,4,2,0,garciav01
Luis Gonzalez,SFG,98,311,31,79,17,2,4,36,10,2,30,75,4,5,1,gonzalu03
Tomás Nido,NYM,98,284,31,68,15,0,3,28,0,0,14,76,1,2,0,nidoto01
Luis Robert,CHW,98,380,54,108,18,0,12,56,11,3,17,77,3,1,1,roberlu01
Jesus Sanchez,MIA,98,313,38,67,14,3,13,36,1,0,26,92,3,1,0,sanchje02
Jean Segura,PHI,98,354,45,98,9,0,10,33,13,6,25,58,7,1,1,segurje01
Joey Bart,SFG,97,261,34,56,6,0,11,25,2,1,26,112,4,0,0,bartjo01
Cavan Biggio,TOR,97,257,43,52,18,1,6,24,2,0,38,85,6,1,0,biggica01
William Contreras,ATL,97,334,51,93,14,1,20,45,2,0,39,104,1,2,1,contrwi02
Leury Garcia,CHW,97,300,38,63,8,0,3,20,2,0,7,65,3,3,0,garcile02
Diego Castillo,PIT,96,262,28,54,13,0,11,29,1,1,14,75,3,4,1,castidi02
Corey Dickerson,STL,96,281,28,75,17,1,6,36,0,0,12,48,2,2,1,dickeco01
Andrew Knizner,STL,96,260,28,56,10,0,4,25,0,1,26,62,6,0,0,kniznan01
Tyler O'Neill,STL,96,334,56,76,11,1,14,58,14,4,38,103,4,7,0,oneilty01
Victor Caratini,MIL,95,272,26,54,12,0,9,34,0,0,31,67,9,1,1,caratvi01
Tucker Barnhart,DET,94,281,16,62,10,0,1,16,0,0,25,74,1,0,0,barnhtu01
Yadiel Hernández,WSN,94,305,30,82,16,0,9,41,2,1,19,74,1,2,0,hernaya01
Ramon Laureano,OAK,94,346,49,73,18,0,13,34,11,6,25,104,12,0,0,laurera01
Trevor Story,BOS,94,357,53,85,22,0,16,66,13,0,32,122,3,4,4,storytr01
Sergio Alcantara,TOT,93,205,26,45,8,1,6,29,1,2,12,57,1,4,0,alcanse01
Luis Garcia,WSN,93,360,29,99,23,2,7,45,3,4,11,84,1,4,1,garcilu04
Riley Greene,DET,93,376,46,95,18,4,5,42,1,4,36,120,3,3,0,greenri03
Enrique Hernandez,BOS,93,361,48,80,24,0,6,45,0,2,34,71,3,4,0,hernaen02
Francisco Mejia,TBR,93,289,32,70,22,0,6,31,0,0,7,65,2,1,0,mejiafr01
Matt Reynolds,TOT,93,244,31,60,10,1,3,23,5,0,26,78,1,1,0,reynoma03
Byron Buxton,MIN,92,340,61,76,13,3,28,51,6,0,34,116,7,1,0,buxtoby01
Aledmys Díaz,HOU,92,305,35,74,13,0,12,38,1,1,18,53,2,2,0,diazal02
Victor Reyes,DET,92,315,27,80,19,3,3,34,2,2,13,77,4,4,0,reyesvi01
Oscar Gonzalez,CLE,91,362,39,107,27,0,11,43,1,2,15,75,3,2,2,gonzaos01
Cristian Pache,OAK,91,241,18,40,5,2,3,18,2,2,15,70,1,0,0,pachecr01
Joey Votto,CIN,91,322,31,66,18,1,11,41,0,0,44,97,10,0,0,vottojo01
CJ Abrams,TOT,90,284,33,70,12,2,2,21,7,4,5,50,9,2,0,abramcj01
Garrett Hampson,COL,90,199,29,42,7,3,2,15,12,2,21,63,1,2,0,hampsga01
