name,team,league,games,at_bats,runs,hits,doubles,triples,home_runs,rbis,stolen,caught,walks,strikeout,hbp,sf,ibb,id
William Contreras,ATL,NL,97,334,51,93,14,1,20,45,2,0,39,104,1,2,1,contrwi02
Willson Contreras,CHC,NL,113,416,65,101,23,2,22,55,4,2,45,103,24,2,0,contrwi01
Garrett Cooper,MIA,NL,119,414,37,108,33,2,9,50,0,0,40,119,10,5,0,coopega03
Franchy Cordero*,BOS,AL,84,242,36,53,17,1,8,29,4,1,28,92,1,2,1,cordefr02
Carlos Correa,MIN,AL,136,522,70,152,24,1,22,64,0,1,61,121,3,4,2,correca01
Brandon Crawford*,SFG,NL,118,407,50,94,15,2,9,52,1,1,39,98,8,4,3,crawfbr01
J.P. Crawford*,SEA,AL,145,518,57,126,24,3,6,42,3,2,68,80,10,5,0,crawfjp01
C.J. Cron,COL,NL,150,575,79,148,28,3,29,102,0,0,43,164,8,5,6,croncj01
Jake Cronenworth*,SDP,NL,158,587,88,141,31,4,17,88,3,0,70,131,16,8,3,croneja01
Narciso Crook,CHC,NL,4,8,1,2,1,0,0,2,0,0,0,3,0,1,0,crookna01
Nelson Cruz,WSN,NL,124,448,50,105,16,0,10,64,4,0,49,119,4,3,1,cruzne02
Oneil Cruz*,PIT,NL,87,331,45,77,13,4,17,54,11,4,28,126,1,1,1,cruzon01
Charlie Culberson,TEX,AL,68,115,19,29,6,0,2,12,2,3,5,31,0,0,0,culbech01
Travis d'Arnaud,ATL,NL,107,396,61,106,25,1,18,60,0,0,19,90,11,0,0,darnatr01
Bobby Dalbec,BOS,AL,117,317,40,68,9,2,12,39,3,0,29,118,3,4,0,dalbebo01
Matt Davidson,TOT,MLB,13,34,3,5,0,0,2,3,0,1,3,13,0,0,0,davidma02
Matt Davidson,ARI,NL,5,10,1,1,0,0,1,1,0,0,3,3,0,0,0,davidma02
Matt Davidson,OAK,AL,8,24,2,4,0,0,1,2,0,1,0,10,0,0,0,davidma02
Brendon Davis,DET,AL,3,10,2,2,0,0,0,0,1,0,1,3,0,0,0,davisbr04
J.D. Davis,TOT,NL,115,318,46,79,16,1,12,35,1,1,39,122,6,2,1,davisjd01
J.D. Davis,NYM,NL,66,181,26,43,8,1,4,21,1,1,20,66,4,2,0,davisjd01
J.D. Davis,SFG,NL,49,137,20,36,8,0,8,14,0,0,19,56,2,0,1,davisjd01
Jaylin Davis,BOS,AL,12,24,4,8,1,0,0,2,0,0,3,11,0,0,0,davisja03
Jonathan Davis,MIL,NL,37,76,9,17,1,0,0,4,7,1,14,26,0,0,0,davisjo05
Ronnie Dawson*,CIN,NL,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,dawsoro01
Yonathan Daza,COL,NL,113,372,56,112,21,2,2,34,0,3,26,58,4,5,0,dazayo01
Bryan De La Cruz,MIA,NL,115,329,38,83,20,0,13,43,4,0,19,90,2,4,0,delacbr01
Enyel De Los Santos,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,delosen01
Austin Dean,SFG,NL,3,8,1,3,0,0,0,0,0,0,1,0,0,0,0,deanau01
Paul DeJong,STL,NL,77,210,19,33,9,0,6,25,3,2,21,79,4,2,0,dejonpa01
Jason Delay,PIT,NL,57,155,17,33,6,0,1,11,0,2,9,50,2,0,0,delayja01
